from_station,to_station,straight_km,rail_km_est,price_full_2nd_chf,price_halbtax_2nd_chf,ga_daily_chf,cost_ratio_vs_ga,avg_duration_min,overall_workability,note
Allaman,Morges,8.2,8.6,7.45,3.73,10.58,0.7,6.5,NOT_WORKABLE,estimated_from_distance_tariff
Bussigny,Renens VD,2.4,2.5,3.6,1.8,10.58,0.3,3.5,NOT_WORKABLE,estimated_from_distance_tariff
Coppet,Nyon,8.3,8.7,7.5,3.75,10.58,0.7,14.6,NOT_WORKABLE,estimated_from_distance_tariff
Cully,Vevey,9.3,9.8,8.1,4.05,10.58,0.8,9.1,MARGINAL,estimated_from_distance_tariff
Genève,Genève-Aéroport,3.4,3.6,4.07,2.04,10.58,0.4,7.5,NOT_WORKABLE,estimated_from_distance_tariff
Genève,Lausanne,50.6,53.1,22.72,11.36,10.58,2.1,45.2,PRIME_WORK,estimated_from_distance_tariff
Genève,Morges,43.0,45.1,20.73,10.37,10.58,2.0,34.5,WORKABLE,estimated_from_distance_tariff
Genève,Nyon,20.7,21.7,13.63,6.82,10.58,1.3,15.2,PRIME_WORK,estimated_from_distance_tariff
Genève-Aéroport,Genève-Champel,5.5,5.8,5.83,2.92,10.58,0.6,31.3,MARGINAL,estimated_from_distance_tariff
Genève-Champel,Genève-Eaux-Vives,1.4,1.5,3.6,1.8,10.58,0.3,2.7,NOT_WORKABLE,estimated_from_distance_tariff
Genève-Eaux-Vives,Lancy-Bachet,4.2,4.4,4.69,2.35,10.58,0.4,6.0,NOT_WORKABLE,estimated_from_distance_tariff
Genève-Sécheron,Versoix,6.6,6.9,6.5,3.25,10.58,0.6,14.0,MARGINAL,estimated_from_distance_tariff
Gland,Rolle,7.0,7.4,6.75,3.38,10.58,0.6,12.3,NOT_WORKABLE,estimated_from_distance_tariff
La Tour-de-Peilz,Montreux,4.5,4.7,4.95,2.48,10.58,0.5,11.6,MARGINAL,estimated_from_distance_tariff
Lancy-Bachet,Lancy-Pont-Rouge,1.3,1.4,3.6,1.8,10.58,0.3,3.6,NOT_WORKABLE,estimated_from_distance_tariff
Lancy-Pont-Rouge,Genève-Sécheron,4.3,4.5,4.84,2.42,10.58,0.5,11.0,MARGINAL,estimated_from_distance_tariff
Lausanne,Montreux,23.3,24.5,14.76,7.38,10.58,1.4,20.9,PRIME_WORK,estimated_from_distance_tariff
Lausanne,Puidoux,10.8,11.3,8.91,4.46,10.58,0.8,15.0,MARGINAL,estimated_from_distance_tariff
Lausanne,Vevey,17.5,18.3,12.29,6.14,10.58,1.2,16.0,WORKABLE,estimated_from_distance_tariff
Montreux,Aigle,13.9,14.5,10.7,5.35,10.58,1.0,11.1,WORKABLE,estimated_from_distance_tariff
Montreux,Lausanne,23.3,24.5,14.76,7.38,10.58,1.4,21.7,PRIME_WORK,estimated_from_distance_tariff
Montreux,Territet,1.4,1.5,3.6,1.8,10.58,0.3,10.2,MARGINAL,estimated_from_distance_tariff
Morges,Bussigny,6.0,6.3,6.17,3.08,10.58,0.6,23.7,BROKEN,estimated_from_distance_tariff
Morges,Lausanne,10.4,10.9,8.68,4.34,10.58,0.8,13.4,WORKABLE,estimated_from_distance_tariff
Nyon,Genève,20.7,21.7,13.63,6.82,10.58,1.3,15.6,PRIME_WORK,estimated_from_distance_tariff
Nyon,Gland,4.7,4.9,5.15,2.58,10.58,0.5,9.0,NOT_WORKABLE,estimated_from_distance_tariff
Puidoux,Cully,3.0,3.2,3.73,1.86,10.58,0.4,33.9,BROKEN,estimated_from_distance_tariff
Renens VD,Lausanne,4.4,4.7,4.94,2.47,10.58,0.5,5.8,NOT_WORKABLE,estimated_from_distance_tariff
Rolle,Allaman,5.1,5.3,5.45,2.73,10.58,0.5,9.3,NOT_WORKABLE,estimated_from_distance_tariff
Territet,Villeneuve VD,3.1,3.3,3.83,1.92,10.58,0.4,7.7,MARGINAL,estimated_from_distance_tariff
Versoix,Coppet,4.5,4.7,5.0,2.5,10.58,0.5,9.0,MARGINAL,estimated_from_distance_tariff
Vevey,La Tour-de-Peilz,1.5,1.6,3.6,1.8,10.58,0.3,8.1,MARGINAL,estimated_from_distance_tariff
Vevey,Lausanne,17.5,18.3,12.29,6.14,10.58,1.2,16.8,WORKABLE,estimated_from_distance_tariff
Vevey,Montreux,6.0,6.3,6.14,3.07,10.58,0.6,6.5,NOT_WORKABLE,estimated_from_distance_tariff
Villeneuve VD,Aigle,9.5,10.0,8.18,4.09,10.58,0.8,7.6,NOT_WORKABLE,estimated_from_distance_tariff
