stop_name,canonical_name,station_id,lat_wgs84,lon_wgs84,gtfs_stop_ids,platform_count
"Vernier, Blandonnet","Vernier, Blandonnet",8587924,46.221936,6.097217,8587924|8587924:F|8587924:G|8587924:C|8587924:D,10
Lausanne,Lausanne,8501120,46.516795,6.629087,8501120|8501120:8|8501120:4|8501120:3|8501120:1,13
Renens VD,Renens VD,8501118,46.537046,6.57892,8501118|8501118:3|8501118:5|8501118:2|8501118:1,8
Genève,Genève,8501008,46.210228,6.142435,8501008|8501008:5|8501008:4|8501008:3|8501008:2,11
Vevey,Vevey,8501200,46.463002,6.84343,8501200|8501200:1|8501200:2|8501200:4|8501200:E-H,9
Aigle,Aigle,8501400,46.316856,6.96367,8501400|8501400:2|8501400:1|8501400:3|8501400:11,11
Morges,Morges,8501037,46.511102,6.493958,8501037|8501037:3|8501037:2|8501037:1|8501037:4,6
Montreux,Montreux,8501300,46.435887,6.910425,8501300|8501300:1|8501300:3|8501300:7|8501300:4,9
Nyon,Nyon,8501030,46.384429,6.23595,8501030|8501030:1|8501030:2|8501030:3|8501030:22,7
Genève-Eaux-Vives,Genève-Eaux-Vives,8516273,46.201461,6.166549,8516273|8516273:1|8516273:2|8516273:,4
Genève-Champel,Genève-Champel,8516272,46.192208,6.153473,8516272|8516272:1|8516272:2|8516272:,4
Lancy-Bachet,Lancy-Bachet,8517142,46.174342,6.12934,8517142|8517142:1|8517142:2|8517142:,4
Lancy-Pont-Rouge,Lancy-Pont-Rouge,8516155,46.18596,6.124929,8516155|8516155:1|8516155:2|8516155:,4
Palézieux,Palézieux,8504014,46.542766,6.83786,8504014|8504014:2|8504014:1|8504014:3|8504014:CD,9
"Aubonne, gare","Aubonne, gare",8501870,46.493844,6.39294,8501870|8501870:,2
Coppet,Coppet,8501023,46.317405,6.187806,8501023|8501023:3|8501023:2|8501023:1|8501023:,5
Bussigny,Bussigny,8501117,46.547597,6.551814,8501117|8501117:4|8501117:3|8501117:1|8501117:,5
Prilly-Malley,Prilly-Malley,8518452,46.526697,6.602624,8518452|8518452:1|8518452:3|8518452:2|8518452:4,6
Cully,Cully,8501124,46.488565,6.727141,8501124|8501124:3|8501124:1|8501124:2|8501124:,5
"Begnins, poste","Begnins, poste",8501851,46.440225,6.247701,8501851|8501851:,2
Genève-Sécheron,Genève-Sécheron,8516283,46.222452,6.144542,8516283|8516283:1|8516283:722|8516283:,4
Genthod-Bellevue,Genthod-Bellevue,8501021,46.256747,6.153947,8501021|8501021:1|8501021:,3
Versoix,Versoix,8501022,46.279741,6.165718,8501022|8501022:2|8501022:3|8501022:1|8501022:,5
Tannay,Tannay,8501015,46.307659,6.181097,8501015|8501015:1|8501015:,3
Mies,Mies,8501014,46.298503,6.167641,8501014|8501014:2|8501014:1|8501014:334|8501014:434,6
Villeneuve VD,Villeneuve VD,8501303,46.398369,6.926992,8501303|8501303:2|8501303:1|8501303:3|8501303:,5
Bex,Bex,8501402,46.251462,7.000653,8501402|8501402:2|8501402:1|8501402:3|8501402:0,6
Gland,Gland,8501031,46.419998,6.269128,8501031|8501031:3|8501031:1|8501031:,4
Allaman,Allaman,8501035,46.47576,6.399683,8501035|8501035:2|8501035:3|8501035:1|8501035:,5
Puidoux,Puidoux,8504012,46.493838,6.76568,8504012|8504012:1|8504012:2|8504012:3|8504012:,5
"Prangins, Les Abériaux","Prangins, Les Abériaux",8595589,46.393015,6.254119,8595589,1
Genève-Aéroport,Genève-Aéroport,8501026,46.232547,6.111969,8501026|8501026:2|8501026:4|8501026:3|8501026:1,8
Rolle,Rolle,8501033,46.462757,6.336387,8501033|8501033:2|8501033:1|8501033:,4
Grandvaux,Grandvaux,8504011,46.496948,6.722641,8504011|8504011:2|8504011:3,3
St-Prex,St-Prex,8501036,46.482324,6.455897,8501036|8501036:2|8501036:1|8501036:3|8501036:,5
Lonay-Préverenges,Lonay-Préverenges,8501048,46.523141,6.519527,8501048|8501048:2|8501048:1|8501048:,4
Lausanne-Flon,Lausanne-Flon,8501181,46.520798,6.63033,8501181|8501181:1|8501181:2,3
La Conversion,La Conversion,8504010,46.513087,6.678307,8504010|8504010:2|8504010:1,3
La Tour-de-Peilz,La Tour-de-Peilz,8501201,46.455457,6.859523,8501201|8501201:2|8501201:1|8501201:,4
Burier,Burier,8501202,46.447889,6.877108,8501202|8501202:1|8501202:2|8501202:,4
Clarens,Clarens,8501203,46.442736,6.895771,8501203|8501203:1|8501203:2|8501203:,4
"Founex, est","Founex, est",8588666,46.334766,6.19494,8588666,1
Rivaz,Rivaz,8501126,46.474211,6.784583,8501126|8501126:2|8501126:1|8501126:,4
"Perroy, Couronnette","Perroy, Couronnette",8570039,46.463879,6.352911,8570039|8570039:,2
Epesses,Epesses,8501125,46.489333,6.745157,8501125|8501125:2|8501125:1|8501125:,4
Denges-Echandens,Denges-Echandens,8501045,46.529129,6.54049,8501045|8501045:2|8501045:1,3
Bossière,Bossière,8504003,46.509753,6.699305,8504003|8504003:2|8504003:1,3
Territet,Territet,8501301,46.426381,6.922695,8501301|8501301:2|8501301:1|8501301:,4
"St-Saphorin (Lavaux), gare","St-Saphorin (Lavaux), gare",8510135,46.472696,6.79809,8501127|8501243|8570099|8570100|8501127:2,7
